Timestamp(ms),Current(uA),D0-D7
20941,226179.953,11111111
20942,225162.141,11111111
20943,221524.094,11111111
20944,215402.609,11111111
20945,216176.000,11111111
20946,215010.750,11111111
20947,211318.688,11111111
20948,209673.531,11111111
20949,213985.563,11111111
20950,207567.984,11111111
20951,206147.281,11111111
20952,203163.203,11111111
20953,200579.797,11111111
20954,200798.141,11111111
20955,206392.641,11111111
20956,205951.234,11111111
20957,209066.406,11111111
20958,211332.078,11111111
20959,212995.781,11111111
20960,238860.719,11111111
20961,264411.906,11111111
20962,246406.172,11111111
20963,217008.016,11111111
20964,207564.734,11111111
20965,208526.406,11111111
20966,205973.859,11111111
20967,202500.656,11111111
20968,199892.859,11111111
20969,208489.125,11111111
20970,205245.688,11111111
20971,207964.500,11111111
20972,205991.984,11111111
20973,202383.813,11111111
20974,206523.828,11111111
20975,209230.859,11111111
20976,215266.609,11111111
20977,216186.266,11111111
20978,218917.016,11111111
20979,223757.313,11111111
20980,222165.484,11111111
20981,225449.516,11111111
20982,225435.656,11111111
20983,222502.125,11111111
20984,215466.125,11111111
20985,216366.953,11111111
20986,215020.578,11111111
20987,213632.250,11111111
20988,207196.844,11111111
20989,208643.563,11111111
20990,204549.219,11111111
20991,214119.219,11111111
20992,216856.844,11111111
20993,217720.391,11111111
20994,219161.875,11111111
20995,224718.828,11111111
20996,225686.688,11111111
20997,228250.313,11111111
20998,229619.750,11111111
20999,224797.281,11111111
21000,247638.656,11111111
21001,270528.344,11111111
21002,249736.141,11111111
21003,222219.469,11111111
21004,212303.109,11111111
21005,210854.813,11111111
21006,206045.313,11111111
21007,201861.031,11111111
21008,199594.531,11111111
21009,206539.875,11111111
21010,206194.078,11111111
21011,208815.156,11111111
21012,206567.500,11111111
21013,204079.500,11111111
21014,205559.172,11111111
21015,208506.094,11111111
21016,215414.844,11111111
21017,216207.906,11111111
21018,218899.703,11111111
21019,222874.375,11111111
21020,221339.172,11111111
21021,225738.250,11111111
21022,224770.344,11111111
21023,221386.203,11111111
21024,215099.969,11111111
21025,216797.266,11111111
21026,215688.000,11111111
21027,214688.172,11111111
21028,210234.828,11111111
21029,213158.063,11111111
21030,207553.094,11111111
21031,206343.000,11111111
21032,202644.406,11111111
21033,199835.547,11111111
21034,200754.719,11111111
21035,206228.391,11111111
21036,205926.281,11111111
21037,208633.016,11111111
21038,211381.438,11111111
21039,212604.359,11111111
