Timestamp(ms),Current(uA),D0-D7
438,0.164,11111111
439,0.155,11111111
440,0.149,11111111
441,0.150,11111111
442,0.150,11111111
443,0.158,11111111
444,0.153,11111111
445,0.155,11111111
446,0.154,11111111
447,0.154,11111111
448,0.139,11111111
449,0.157,11111111
450,0.153,11111111
451,0.136,11111111
452,0.144,11111111
453,0.139,11111111
454,0.140,11111111
455,0.136,11111111
456,0.146,11111111
457,0.140,11111111
458,0.138,11111111
459,95822.430,11111111
460,38239.699,11111111
461,14228.674,11111111
462,5328.107,11111111
463,2022.533,11111111
464,13765.868,11111111
465,23497.598,11111111
466,26812.840,11111111
467,28100.242,11111111
468,28722.906,11111111
469,28631.766,11111111
470,28630.254,11111111
471,28556.129,11111111
472,28365.729,11111111
473,28442.865,11111111
474,28577.811,11111111
475,28712.434,11111111
476,28826.973,11111111
477,28554.863,11111111
478,29527.227,11111111
479,30228.457,11111111
480,30517.977,11111111
481,30512.307,11111111
482,30560.275,11111111
483,30671.785,11111111
484,29335.275,11111111
485,28731.703,11111111
486,28553.982,11111111
487,28497.373,11111111
488,28721.879,11111111
489,28692.264,11111111
490,28615.648,11111111
491,28466.529,11111111
492,28355.938,11111111
493,30713.881,11111111
494,42921.859,11111111
495,48164.430,11111111
496,50168.379,11111111
497,50704.305,11111111
498,51086.840,11111111
499,51325.430,11111111
500,51298.496,11111111
501,51139.121,11111111
502,51260.301,11111111
503,51313.406,11111111
504,51234.539,11111111
505,51199.777,11111111
506,51316.188,11111111
507,51116.387,11111111
508,50974.438,11111111
509,51049.523,11111111
510,50958.148,11111111
511,50918.266,11111111
512,50999.324,11111111
513,50868.883,11111111
514,50830.148,11111111
515,50809.949,11111111
516,50882.000,11111111
517,50848.602,11111111
518,50809.383,11111111
519,50843.477,11111111
520,51072.180,11111111
521,50962.426,11111111
522,50869.238,11111111
523,50983.719,11111111
524,51011.754,11111111
525,50856.793,11111111
526,50962.609,11111111
527,50769.879,11111111
528,50833.301,11111111
529,50921.914,11111111
530,50759.055,11111111
531,50614.977,11111111
532,50491.938,11111111
533,50434.219,11111111
534,50469.230,11111111
535,50438.348,11111111
536,50296.859,11111111
537,50353.402,11111111
538,50325.930,11111111
539,50319.359,11111111
540,50260.477,11111111
541,50283.805,11111111
542,50313.078,11111111
543,50340.602,11111111
544,50253.715,11111111
545,50285.492,11111111
546,50473.680,11111111
547,50397.887,11111111
548,50366.324,11111111
549,50508.738,11111111
550,50362.844,11111111
551,50436.289,11111111
552,50394.906,11111111
553,50345.121,11111111
554,50326.574,11111111
555,50066.148,11111111
556,50484.238,11111111
557,50435.867,11111111
558,50531.586,11111111
559,50484.035,11111111
560,50369.629,11111111
561,50487.184,11111111
562,50321.816,11111111
563,50523.746,11111111
564,50519.770,11111111
565,50654.066,11111111
566,50437.922,11111111
567,50441.383,11111111
568,50481.781,11111111
569,50400.645,11111111
570,50440.063,11111111
571,50442.641,11111111
572,50609.832,11111111
573,50385.797,11111111
574,50456.594,11111111
575,50103.156,11111111
576,50280.375,11111111
577,50364.297,11111111
578,50261.422,11111111
579,50404.406,11111111
580,50596.863,11111111
581,50465.664,11111111
582,50554.918,11111111
583,50449.832,11111111
584,50202.801,11111111
585,50517.730,11111111
586,50545.738,11111111
587,50519.031,11111111
588,50621.012,11111111
589,50549.059,11111111
590,50417.039,11111111
591,50512.980,11111111
592,50476.270,11111111
593,50537.359,11111111
594,50340.535,11111111
595,50211.734,11111111
596,50593.566,11111111
597,50673.387,11111111
598,50432.926,11111111
599,50688.250,11111111
600,50598.781,11111111
601,50473.668,11111111
602,50575.098,11111111
603,50583.137,11111111
604,50692.453,11111111
605,50626.602,11111111
606,50657.113,11111111
607,50604.711,11111111
608,50704.840,11111111
609,50558.664,11111111
610,50395.152,11111111
611,50517.109,11111111
612,50471.359,11111111
613,50683.484,11111111
614,50725.676,11111111
615,50466.340,11111111
616,50687.949,11111111
617,50398.031,11111111
618,50449.215,11111111
619,50572.770,11111111
620,50499.742,11111111
621,50387.672,11111111
622,50504.059,11111111
623,50294.102,11111111
624,50361.051,11111111
625,50561.832,11111111
626,50238.781,11111111
627,50487.832,11111111
628,50527.324,11111111
629,50459.047,11111111
630,50381.746,11111111
631,50375.410,11111111
632,50163.758,11111111
633,50349.191,11111111
634,50393.105,11111111
635,50269.641,11111111
636,50383.676,11111111
637,50460.145,11111111
638,50457.344,11111111
639,50469.801,11111111
640,50384.508,11111111
641,50484.625,11111111
642,50381.070,11111111
643,50381.293,11111111
644,50603.492,11111111
645,50474.754,11111111
646,50527.875,11111111
647,50523.367,11111111
648,50487.699,11111111
649,50533.156,11111111
650,50517.277,11111111
651,50215.453,11111111
652,50479.082,11111111
653,50592.184,11111111
654,50418.945,11111111
655,50435.805,11111111
656,50493.426,11111111
657,50398.684,11111111
658,50515.496,11111111
659,50523.043,11111111
660,50356.043,11111111
661,50590.313,11111111
662,50560.098,11111111
663,50312.828,11111111
664,50415.664,11111111
665,50374.148,11111111
666,50371.973,11111111
667,50521.668,11111111
668,50415.445,11111111
669,50619.707,11111111
670,50558.465,11111111
671,50406.887,11111111
672,50245.680,11111111
673,50402.332,11111111
674,50265.797,11111111
675,50165.145,11111111
676,50301.652,11111111
677,50222.672,11111111
678,50238.820,11111111
679,50294.098,11111111
680,50533.621,11111111
681,50505.793,11111111
682,50459.586,11111111
683,50473.625,11111111
684,50320.715,11111111
685,50455.266,11111111
686,50391.711,11111111
687,50562.477,11111111
688,50479.551,11111111
689,50533.563,11111111
690,50376.879,11111111
691,50430.004,11111111
692,50513.496,11111111
693,50443.461,11111111
694,50303.113,11111111
695,50363.398,11111111
696,50461.574,11111111
697,50612.234,11111111
698,50692.348,11111111
699,50415.652,11111111
700,50637.371,11111111
701,50532.719,11111111
702,50517.270,11111111
703,50582.195,11111111
704,50555.695,11111111
705,50321.563,11111111
706,50312.688,11111111
707,50510.176,11111111
708,50520.055,11111111
709,50526.023,11111111
710,50734.324,11111111
711,50774.176,11111111
712,50657.152,11111111
713,50536.191,11111111
714,50694.852,11111111
715,50677.945,11111111
716,50821.641,11111111
717,50765.641,11111111
718,50684.219,11111111
719,50669.816,11111111
720,50745.469,11111111
721,50675.105,11111111
722,50613.219,11111111
723,50354.574,11111111
724,50495.371,11111111
725,50638.547,11111111
726,50613.246,11111111
727,50465.148,11111111
728,50456.531,11111111
729,50450.102,11111111
730,50548.098,11111111
731,50455.898,11111111
732,50702.586,11111111
733,50520.816,11111111
734,50474.148,11111111
735,50515.906,11111111
736,50600.016,11111111
737,50523.660,11111111
738,50612.219,11111111
739,50549.270,11111111
740,50476.129,11111111
741,50427.895,11111111
742,50456.793,11111111
743,50603.996,11111111
744,50497.172,11111111
745,50535.023,11111111
746,50742.945,11111111
747,50408.117,11111111
748,50538.230,11111111
749,50531.066,11111111
750,50609.629,11111111
751,50569.816,11111111
752,50556.875,11111111
753,50416.324,11111111
754,50310.086,11111111
755,50242.402,11111111
756,50299.336,11111111
757,50473.344,11111111
758,50438.355,11111111
759,50404.313,11111111
760,50457.145,11111111
761,50385.770,11111111
762,50589.371,11111111
763,50551.281,11111111
764,50678.137,11111111
765,50576.668,11111111
766,50672.879,11111111
767,50437.180,11111111
768,50483.906,11111111
